,open,close,high,low,total_turnover,volume
2009/11/18,8.8053,8.7209,8.8526,8.6634,471343646.7,50302633
2009/11/19,8.7682,8.7682,8.8526,8.6499,511511009.1,54668725
2009/11/20,8.7006,8.6533,8.7715,8.6094,683580550.9,73622189
2009/11/23,8.6567,8.633,8.6938,8.5485,644587911.3,69854610
2009/11/24,8.7006,8.4979,8.8425,8.4506,956197690.1,102915798
2009/11/25,8.5046,8.508,8.6094,8.2275,773227799.7,85643913
2009/11/26,8.508,8.0181,8.5114,7.9403,1033181023,117140567
2009/11/27,7.9234,7.8829,8.0755,7.8018,909588084.5,107259993
2009/11/30,7.9809,8.1971,8.2208,7.9505,676858405.6,77929316
2009/12/1,8.16,8.1735,8.1769,7.8728,1268305424,147599805
2009/12/2,8.2005,8.2377,8.3593,8.1971,836075213.4,94307381
2009/12/3,8.1769,8.0924,8.2343,8.0079,812890749.5,93784604
2009/12/4,8.0924,8.5485,8.5654,7.964,1960035198,218684751
2009/12/7,8.4708,8.5688,8.7141,8.4134,1068545177,116594508
2009/12/8,8.5925,8.3695,8.5925,8.3188,778444693.4,86392809
2009/12/9,8.3458,8.3289,8.3864,8.2444,499576625.2,56082359
2009/12/10,8.3796,8.41,8.5148,8.312,476462797,52885918
2009/12/11,8.41,8.4438,8.5316,8.3492,436689794.2,48228286
2009/12/14,8.3661,8.6161,8.7175,8.1059,1000935131,110673000
2009/12/15,8.5316,8.4742,8.6837,8.4506,628406658.4,68714556
2009/12/16,8.4134,8.3965,8.5992,8.3695,401527631.4,44261835
2009/12/17,8.4134,8.2816,8.5148,8.2444,448143106.5,50152554
2009/12/18,8.2073,8.0856,8.2985,8.0823,478154159.3,54705082
2009/12/21,8.0586,7.9606,8.1566,7.7714,405556984,47734012
2009/12/22,7.9843,7.6768,8.0012,7.6531,339795426.2,40730807
2009/12/23,7.6903,7.6194,7.7917,7.5281,483286333.5,59001382
2009/12/24,7.6531,7.866,7.8761,7.5889,672728262.4,81293027
2009/12/25,7.866,7.866,7.866,7.866,0,0
2009/12/28,7.866,7.866,7.866,7.866,0,0
2009/12/29,7.9066,7.9708,8.0451,7.7714,571177499.9,67306023
2009/12/30,7.9708,8.2411,8.2884,7.9133,877732173.7,100453595
2009/12/31,8.2377,8.2343,8.3424,8.1397,523456315.8,59377354
2010/1/4,8.285,8.0113,8.3053,8.0012,580249471.5,66886805
2010/1/5,8.0248,7.8728,8.0755,7.6869,1293476939,153861070
2010/1/6,7.8559,7.7376,7.8559,7.6768,944453697.3,113949333
2010/1/7,7.7376,7.6531,7.7883,7.5687,804166315.8,98243532
2010/1/8,7.6025,7.6362,7.6869,7.5518,650667404.9,79776385
2010/1/11,7.9403,7.6362,8.0012,7.5281,1009985567,122438068
2010/1/12,7.6261,7.5856,7.6531,7.3659,1310068994,163619733
2010/1/13,7.3896,7.0821,7.3997,7.028,1990492740,258519713
2010/1/14,7.0956,7.0855,7.1497,6.9605,1089329454,144099922
2010/1/15,7.1024,7.2409,7.3153,6.9774,1146375321,149163299
2010/1/18,7.2409,7.2544,7.3524,7.1666,749941265.7,96526500
2010/1/19,7.2916,7.5112,7.5484,7.2848,1438886704,179909722
2010/1/20,7.5078,7.224,7.6362,7.197,1079325997,135706246
2010/1/21,7.2916,7.6633,7.7038,7.224,1405279427,174818663
2010/1/22,7.5822,7.7984,7.9234,7.393,2002921979,244004372
2010/1/25,7.6362,7.4977,7.8052,7.4673,803320186.5,98443093
2010/1/26,7.4977,7.4504,7.6329,7.2984,760432404.5,95475611
2010/1/27,7.5653,7.4031,7.6362,7.3321,892337325,110878090
2010/1/28,7.3659,7.349,7.4504,7.1328,567566996.6,72474391
2010/1/29,7.295,7.3321,7.5518,7.2037,528437727.3,66545476
2010/2/1,7.3355,7.1767,7.3558,7.0956,602675218,78293582
2010/2/2,7.1835,7.2206,7.42,7.1835,620475787.9,79276106
2010/2/3,7.2747,7.6295,7.6295,7.1767,1214267915,151789107
2010/2/4,7.545,7.5011,7.5856,7.4369,675283309,83869110
2010/2/5,7.3051,7.4335,7.5416,7.2342,601515186.8,76356588
2010/2/8,7.393,7.2848,7.4605,7.2477,447137546.4,57071850
2010/2/9,7.2984,7.4335,7.4842,7.2747,543120228.3,68614113
2010/2/10,7.5011,7.5281,7.5619,7.4403,564177459.1,70181584
2010/2/11,7.5045,7.4707,7.5518,7.4605,308844870.8,38459001
2010/2/12,7.491,7.5856,7.6362,7.491,422488280.9,52084859
2010/2/22,7.5383,7.4673,7.5856,7.4605,367933709.4,45834188
2010/2/23,7.4436,7.2815,7.4504,7.2308,513377936.4,65741768
2010/2/24,7.2342,7.3355,7.3626,7.17,497531459.6,64001374
2010/2/25,7.322,7.4842,7.572,7.3017,770836536.7,96181580
2010/2/26,7.4369,7.5856,7.643,7.4268,1008966463,124476079
2010/3/1,7.5856,7.5856,7.5856,7.5856,0,0
2010/3/2,7.7342,7.8086,8.0958,7.7342,1599219810,189291277
2010/3/3,7.8086,7.8728,7.8897,7.7038,655444671.7,78551117
2010/3/4,7.8795,7.8052,7.9843,7.7714,877389766.9,104045186
2010/3/5,7.8052,7.8626,7.937,7.7883,681193905.7,80688504
2010/3/8,7.8795,8.0586,8.1262,7.7917,1045698959,121942588
2010/3/9,8.0687,8.0485,8.2005,7.9403,943966309.8,109032692
2010/3/10,8.0113,7.9066,8.1363,7.8897,499356452.3,58353548
2010/3/11,7.9572,7.9944,8.0992,7.9032,571453920,66692049
2010/3/12,7.9572,7.7444,7.9572,7.7309,655910208.2,78264120
2010/3/15,7.7309,7.5653,7.7309,7.5011,424857073.8,52279589
2010/3/16,7.5653,7.6194,7.6464,7.5146,441221896.8,54424742
2010/3/17,7.643,7.8356,7.839,7.5889,441162464.4,53321853
2010/3/18,7.8559,7.7883,7.9403,7.7646,507527261.8,60314720
2010/3/19,7.7883,7.7849,7.839,7.67,404284746,48830438
2010/3/22,7.7477,7.8221,7.9133,7.7477,453198690.9,53984595
2010/3/23,7.839,7.714,7.8593,7.6734,365560036.8,44056936
2010/3/24,7.7207,7.7038,7.839,7.6835,484336276.5,58332558
2010/3/25,7.6903,7.5349,7.6937,7.5281,372184240.7,45916225
2010/3/26,7.5349,7.7072,7.8018,7.491,509149246.3,61782439
2010/3/29,7.7579,7.9606,8.062,7.7004,1044826211,122802264
2010/3/30,7.9843,7.991,8.035,7.8863,595446879.1,69961442
